scene,agent_id,agent_type,frame_origin,origin_x,origin_y,frame_goal,goal_x,goal_y,preferred_speed
seq_hotel,0,0,0,294.0,406.0,199,712.0,101.99999999999999,1.3521006433096705
seq_hotel,1,0,0,222.0,359.0,72,8.881784197001252e-16,351.0,1.5532856064343
seq_hotel,2,0,0,400.0,423.0,96,718.5536221590908,393.5627297794117,1.6407485044235468
seq_hotel,3,0,0,632.0,393.0,43,719.0,397.99999999999994,0.979668580828306
seq_hotel,4,0,0,631.0,444.0,48,719.0,431.0,0.9089577525746976
seq_hotel,5,0,0,177.0,312.0,48,2.0000000000000044,333.0,1.8629553964882615
seq_hotel,6,0,0,80.0,358.0,29,8.881784197001252e-16,359.0,1.3924732962273494
seq_hotel,7,0,0,13.0,294.0,210,1.0000000000000002,299.0,0.12398177433934061
seq_hotel,8,0,0,128.0,230.0,2789,51.99999999999999,50.0,0.37743866476265536
seq_hotel,9,0,0,51.0,181.0,505,716.0,155.0,0.795669903405323
seq_hotel,10,0,0,445.0,131.0,112,717.0000000000001,110.0,1.2680664911054098
seq_hotel,11,0,0,453.0,197.0,400,446.0,26.999999999999996,0.5913774679029682
seq_hotel,12,0,0,533.0,187.0,2508,719.0,86.00000000000001,0.7831849596254506
seq_hotel,13,0,0,551.0,180.0,2487,715.0,106.0,0.7148270208368817
seq_hotel,14,0,0,594.0,139.0,70,716.0,136.0,0.9041083528131094
seq_hotel,15,0,0,699.0,407.0,8,719.0,406.0,1.2212373106554977
seq_hotel,16,0,2,0.0,146.0,317,448.0,39.00000000000001,0.8393086254360158
seq_hotel,17,0,2,0.0,486.0,297,717.7932530118616,427.1097098932926,1.1973797437957394
seq_hotel,18,0,46,594.0,472.0,127,717.3442909945477,460.8875440122289,0.7421472978576538
seq_hotel,19,0,46,3.0,446.0,298,715.0,371.0,1.4623025285036488
seq_hotel,20,0,64,0.0,178.0,378,718.9999999999999,291.0,1.1882327720660564
seq_hotel,21,0,99,2.0,190.0,316,159.0,67.99999999999999,0.49956438351342475
seq_hotel,22,0,102,234.0,508.0,299,718.9999999999999,453.0,1.2089350872513274
seq_hotel,23,0,106,1.0,140.0,252,131.00000000000003,65.0,0.7388222989429925
seq_hotel,24,0,110,719.0,329.0,343,1.1657341758564144e-15,377.0,1.5461819326276804
seq_hotel,25,0,123,715.9682410140308,275.0984602013969,290,4.715462297653654,353.72124491041774,2.1615968763173443
seq_hotel,26,0,127,718.0,317.0,347,0.0,349.0,1.6443268530263517
seq_hotel,27,0,169,127.0,48.0,435,7.0,221.0,1.1128181597990732
seq_hotel,28,0,174,0.0,142.0,325,120.0,89.0,0.47792981147398844
seq_hotel,29,0,177,0.0,475.0,385,714.9999999999999,460.0,1.6790930096016736
seq_hotel,30,0,181,151.0,47.0,275,1.0,182.0,1.4092625571615853
seq_hotel,31,0,184,477.0,37.0,454,9.159339953157541e-16,383.0,1.2326134323677058
seq_hotel,32,0,204,1.0,358.0,380,719.0,378.0,2.0277071318796827
seq_hotel,33,0,211,449.0,37.0,459,1.0,337.0,1.2566095023896293
seq_hotel,34,0,219,149.0,46.0,396,2.0000000000000004,142.0,1.0037981224459949
seq_hotel,35,0,239,0.0,500.0,429,719.0,469.0,1.8455328316626824
seq_hotel,36,0,305,0.0,513.0,500,719.0,420.0,1.823217479083415
seq_hotel,37,0,314,2.0,143.0,418,160.00000000000003,62.0,0.9760521247582852
seq_hotel,38,0,338,0.0,420.0,365,1.0000000000000004,409.0,0.31240383017343015
seq_hotel,39,0,357,719.0,161.0,868,1.3322676295501878e-15,323.0,0.7767076658897037
seq_hotel,40,0,375,1.0,440.0,573,718.0,376.0,1.7998119468012803
seq_hotel,41,0,378,718.0,114.0,945,1.0926015935250892,361.85596707818934,0.7249054840772032
seq_hotel,42,0,379,1.0,492.0,660,718.7891308907489,429.2786482648615,1.25819068957226
seq_hotel,43,0,382,718.0,346.0,597,8.881784197001252e-16,393.0,1.6744000327514208
seq_hotel,44,0,402,719.0,159.0,1337,0.0,351.0,0.8702284271097439
