scene,agent_id,agent_type,frame_origin,origin_x,origin_y,frame_goal,goal_x,goal_y,preferred_speed
students003,0,0,0,430.0,323.0,147,716.0,280.0,1.1026251587149367
students003,1,0,0,539.0,266.0,90,716.0,274.0,1.0934879590341668
students003,2,0,0,289.0,425.0,367,702.0,106.99999999999999,0.8656849553663007
students003,3,0,0,108.0,316.0,1070,718.4514065489271,226.85202208364294,0.5707523162386401
students003,4,0,0,650.0,302.0,272,55.99999999999999,4.000000000000003,1.4601443553523918
students003,5,0,0,649.0,476.0,444,2.999999999999999,292.00000000000006,0.8881540608753371
students003,6,0,0,669.0,442.0,459,1.506670670829111,251.0315315933878,0.873210810877874
students003,7,0,0,682.0,247.0,287,574.0,6.0,0.5743171952106022
students003,8,0,0,51.0,229.0,631,718.8521580398798,437.95651399440425,0.7119439236800307
students003,9,0,0,42.0,245.0,625,718.1508284478361,323.3716457208682,0.6864525256614004
students003,10,0,0,23.0,246.0,595,719.0,298.0,0.6793536180929168
students003,11,0,0,10.0,267.0,641,714.0,414.0,0.6987417810037448
students003,12,0,0,544.0,178.0,301,716.0,198.00000000000003,0.41388918271994646
students003,13,0,0,515.0,189.0,258,718.5159783102488,189.45229151014274,0.48105433043884976
students003,14,0,0,486.0,177.0,295,703.0,160.99999999999997,0.44404397053340317
students003,15,0,0,465.0,512.0,214,711.0,506.0,0.6651600825920333
students003,16,0,0,443.0,556.0,220,718.4162271590573,538.6970136409996,0.7587942236873807
students003,17,0,0,31.0,413.0,499,705.0,176.0,0.8473915212861372
students003,18,0,0,521.0,37.0,391,1.3002541248200963,242.0,0.9115231615738327
students003,19,0,0,616.0,43.0,672,678.9999999999999,30.0,0.2843468525376522
students003,20,0,0,209.0,104.0,110,102.0,6.0,0.7907543855607861
students003,21,0,0,188.0,105.0,131,62.00000000000001,3.000000000000001,0.731740617402725
students003,22,0,0,222.0,149.0,165,85.99999999999999,10.0,0.72874926579863
students003,23,0,0,202.0,157.0,171,63.99999999999999,3.0,0.7446526025248303
students003,24,0,0,365.0,379.0,821,10.0,310.0,0.7568035291578475
students003,25,0,0,176.0,421.0,149,8.000000000000009,426.0,0.6369443049509136
students003,26,0,0,347.0,440.0,818,17.999999999999996,358.99999999999994,0.8689468995797182
students003,27,0,0,390.0,402.0,824,6.999999999999998,337.0,0.7418841499062423
students003,28,0,0,713.0,260.0,244,585.9999999999999,9.000000000000002,0.7115180859817414
students003,29,0,0,647.0,54.0,1163,10.000000000000005,250.0,0.6272293775812097
students003,30,0,0,476.0,129.0,1202,11.0,258.00000000000006,1.0351075164887555
students003,31,0,0,468.0,109.0,1200,9.0,231.0,1.0273362423483374
students003,32,0,0,534.0,388.0,984,710.0,214.0,0.5219806492616157
students003,33,0,0,363.0,463.0,1765,12.000000000000004,424.0,0.7336825268097201
students003,34,0,0,385.0,512.0,1790,20.000000000000004,433.0,0.7300009646570195
students003,35,0,0,338.0,508.0,1749,9.999999999999998,456.0,0.7864004296143715
students003,36,0,0,547.0,505.0,476,711.0,286.0,0.7571763175410374
students003,37,0,0,523.0,463.0,517,702.9999999999999,241.0,0.6964766256513404
students003,38,0,0,555.0,355.0,2093,6.0,349.0,0.602411539382392
students003,39,0,0,577.0,375.0,2054,9.000000000000004,355.0,0.6623876571419965
students003,40,0,0,576.0,337.0,2081,18.999999999999996,333.0,0.6801325619468133
students003,41,0,0,612.0,373.0,2138,13.000000000000004,280.0,0.7728610489990809
students003,42,0,0,667.0,343.0,2100,15.999999999999996,300.00000000000006,0.7778523506215053
students003,43,0,0,142.0,486.0,5404,142.0,486.0,0.0
students003,44,0,0,145.0,461.0,5404,145.0,461.0,0.0
students003,45,0,0,116.0,187.0,5404,116.0,187.0,0.0
students003,46,0,0,78.0,194.0,5404,78.0,194.0,0.0
students003,47,0,0,89.0,213.0,5404,81.0,217.0,0.3363971478684903
students003,48,0,20,716.0,441.0,1935,713.0,544.0,0.586208408810952
students003,49,0,24,704.0,532.0,339,5.0,304.0,1.3576850183995695
students003,50,0,42,22.0,450.0,304,702.0000000000001,519.0,1.5228152008436613
students003,51,0,46,13.0,221.0,1068,708.0,201.0,0.4349387643147316
students003,52,0,52,704.0,382.0,551,11.0,367.0,0.7984419708204583
students003,53,0,55,8.0,251.0,682,699.0,461.0,0.7960678731031768
students003,54,0,66,714.0,208.0,222,703.0,103.0,0.46372324098421885
students003,55,0,89,696.0,408.0,532,14.999999999999996,399.0,0.8839417064032592
students003,56,0,142,700.0,217.0,486,94.0,7.000000000000001,1.1443667152610568
